age,portalName,portalAddress,oldOwner,hunter,dtg
67,"Heritage Point Disc Golf Course","1250 Cross Plains Trail, Dalton, GA 30721, USA","1000yrFALCON","Semiotiq","2016-05-14 09:41:48"
64,"Old Federal Road","State Highway 2, Tunnel Hill, GA","Flegal","Semiotiq","2016-05-16 12:28:07"
87,"Pleasant View Baptist Church","Holly Pond, AL 35083, USA","tigress6659","Semiotiq","2016-05-18 18:50:45"
245,"Haynes Chapel ","County Road 809, Flat Rock, AL 35966, USA","EmeraldOpus","Semiotiq","2016-05-18 21:04:27"
129,"Trinity Baptist Church","10469-10701 Lookout Mountain Scenic Highway, Chickamauga, GA 30707, USA","AdamnW","Semiotiq","2016-05-18 22:04:36"
119,"Roland Muffler Man","13477-13499 Alabama 1, Hazel Green, AL 35750, USA","MoonGnome22","Semiotiq","2016-05-19 07:32:41"
62,"Hilti Mural","3032-3066 U.S. 19, Pittsburgh, PA 15216, USA","Dezi227","Semiotiq","2016-05-22 16:09:08"
184,"Abel Long Playground","825-853 Coast Avenue, Pittsburgh, PA 15216, USA","camillabella","Semiotiq","2016-05-22 16:26:43"
157,"Fallowfield Station","Fallowfield Station, Pittsburgh, PA 15216, USA","TungstenIrish","Semiotiq","2016-05-22 16:36:33"
141,"Westfield Station","617 Hampshire Avenue, Pittsburgh, PA 15216, USA","Goblin13","Semiotiq","2016-05-22 16:41:53"
63,"Allegheny County Traffic Grade Separation","1300-1404 West Liberty Avenue, Pittsburgh, PA 15226, USA","camillabella","Semiotiq","2016-05-22 18:15:09"
65,"Shaare Torah Congregation","2319 Murray Avenue, Pittsburgh, PA 15217, USA","odinsvalholl","Semiotiq","2016-06-01 18:01:40"
76,"Morningside Joe Natoli Field","6952-6998 President Way, Pittsburgh, PA 15206, USA","AgentPajamas","Semiotiq","2016-06-01 19:23:54"
93,"Morningside Messiah Lutheran Church","1736 Jancey Street, Pittsburgh, PA 15206, USA","AgentPajamas","Semiotiq","2016-06-01 21:03:01"
76,"Good Morning on Greenwood and Chislett","1748 Chislett Street, Pittsburgh, PA 15206, USA","AgentPajamas","Semiotiq","2016-06-02 01:27:59"
141,"Holy Angels Blessed Mother Statue","461-481 Baldwin Road, Pittsburgh, PA 15207, USA","artnc","Semiotiq","2016-06-02 11:49:36"
102,"Michael Simpson Park","Edgar Avenue, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 15:52:55"
114,"Recycle Mural","200-244 South 4th Street, Toronto, OH 43964, USA","VirgoStar","Semiotiq","2016-06-16 16:37:39"
67,"Toronto Public Library","607 Daniels Street, Toronto, OH 43964, United States","CoryWray","Semiotiq","2016-06-16 17:14:46"
72,"Windchaser Mural","309 Loretta Avenue, Toronto, OH 43964, USA","sp1inter","Semiotiq","2016-06-16 17:16:27"
83,"Toronto Ohio Valley DiCarlos mural","224 North 4th Street, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 17:40:08"
67,"Cornerstone Church","204 North 5th Street, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 18:08:35"
68,"Toronto First Presbyterian Church","116 North 3rd Street, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 18:12:32"
72,"Toronto's Nation of Immigrants Mural","717 North 4th Street, Toronto, OH 43964, USA","sp1inter","Semiotiq","2016-06-16 18:13:39"
67,"North River Avenue Christian Church","211 North River Avenue, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 18:14:13"
97,"Toronto North End Welcome Sign","1401-1599 County Highway 7f, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 18:33:37"
102,"Riesbeck's Clock","1669-1721 Franklin Street, Toronto, OH 43964, USA","CoryWray","Semiotiq","2016-06-16 18:50:17"
67,"Toronto Virgin Mary Monument","1222 North 4th Street, Toronto, OH 43964, USA","DannyHammer","Semiotiq","2016-06-16 19:09:43"
131,"Richmond American Legion","134-140 East Legion Street, Richmond, OH 43944, USA","MacPgh","Semiotiq","2016-06-16 20:07:48"
68,"Toronto Municipal Building","405 North 4th Street, Toronto, OH 43964, USA","Ktriff","Semiotiq","2016-06-16 20:23:37"
68,"Toronto Memorial Park","921 Euclid Avenue, Toronto, OH 43964, USA","Ktriff","Semiotiq","2016-06-16 20:59:36"
131,"Richmond United Methodist Church ","100-198 South Sugar Street, Richmond, OH 43944, USA","MacPgh","Semiotiq","2016-06-16 22:32:14"
63,"Crazy Coconut CB Shop Palm Tree Sign","560-850 Old State Highway 7, Steubenville, OH 43952, USA","DannyHammer","Semiotiq","2016-06-16 23:06:27"
68,"Toronto War Memorial Swimming Pool","600-698 Madison Avenue, Toronto, OH 43964, USA","Ktriff","Semiotiq","2016-06-16 23:23:38"
131,"Methodist Episcopal Cemetery","138 East Legion Street, Richmond, OH 43944, USA","MacPgh","Semiotiq","2016-06-16 23:45:06"
